country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,bank_account
Kenya,2018,uniqueid_31,Urban,Yes,5,55,Male,Head of Household,Married/Living together,Secondary education,Informally employed,No
Kenya,2018,uniqueid_32,Urban,Yes,5,38,Male,Head of Household,Married/Living together,Secondary education,Self employed,No
Kenya,2018,uniqueid_33,Urban,Yes,4,62,Female,Spouse,Married/Living together,Primary education,Formally employed Government,Yes
Kenya,2018,uniqueid_34,Rural,Yes,3,29,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_35,Rural,Yes,10,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_36,Rural,Yes,5,48,Female,Head of Household,Widowed,Primary education,Informally employed,No
Kenya,2018,uniqueid_37,Rural,Yes,4,35,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_38,Rural,Yes,5,45,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_39,Rural,Yes,8,45,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_40,Rural,No,3,70,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_41,Rural,Yes,6,67,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_42,Urban,Yes,4,19,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_43,Rural,Yes,3,80,Male,Head of Household,Widowed,Primary education,Remittance Dependent,Yes
Kenya,2018,uniqueid_44,Rural,Yes,2,66,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_45,Urban,No,1,31,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private,No
Kenya,2018,uniqueid_46,Rural,Yes,1,50,Female,Head of Household,Single/Never Married,Primary education,Self employed,No
Kenya,2018,uniqueid_47,Rural,No,3,29,Female,Head of Household,Single/Never Married,Primary education,Informally employed,No
Kenya,2018,uniqueid_48,Rural,Yes,4,33,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing,No
Kenya,2018,uniqueid_49,Urban,Yes,4,28,Female,Child,Married/Living together,Vocational/Specialised training,Self employed,No
Kenya,2018,uniqueid_50,Urban,Yes,3,28,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_51,Urban,Yes,3,26,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed,No
Kenya,2018,uniqueid_52,Urban,Yes,2,51,Female,Head of Household,Single/Never Married,Secondary education,Self employed,No
Kenya,2018,uniqueid_53,Urban,No,5,16,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_54,Rural,Yes,2,17,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_55,Urban,Yes,1,22,Female,Head of Household,Single/Never Married,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_56,Rural,Yes,3,66,Female,Head of Household,Widowed,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_57,Rural,Yes,6,50,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government,Yes
Kenya,2018,uniqueid_58,Urban,Yes,4,33,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_59,Rural,Yes,11,21,Male,Child,Single/Never Married,Other/Dont know/RTA,Informally employed,No
Kenya,2018,uniqueid_60,Rural,Yes,5,30,Female,Spouse,Married/Living together,Secondary education,Informally employed,No
Kenya,2018,uniqueid_61,Rural,Yes,8,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed,No
Kenya,2018,uniqueid_62,Rural,No,1,67,Female,Head of Household,Widowed,No formal education,Informally employed,No
Kenya,2018,uniqueid_63,Rural,Yes,3,50,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_64,Urban,Yes,1,25,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent,Yes
Kenya,2018,uniqueid_65,Rural,Yes,6,25,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_66,Urban,No,3,30,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_67,Rural,No,1,37,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed,No
Kenya,2018,uniqueid_68,Urban,Yes,1,30,Female,Head of Household,Married/Living together,Primary education,Self employed,Yes
Kenya,2018,uniqueid_69,Urban,No,5,28,Female,Child,Single/Never Married,Primary education,Informally employed,No
Kenya,2018,uniqueid_70,Urban,Yes,1,30,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private,Yes
Kenya,2018,uniqueid_71,Rural,Yes,2,59,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed,No
Kenya,2018,uniqueid_72,Urban,Yes,5,29,Male,Head of Household,Married/Living together,Secondary education,Informally employed,No
Kenya,2018,uniqueid_73,Rural,No,4,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_74,Urban,Yes,3,27,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_75,Rural,Yes,4,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_76,Urban,Yes,4,34,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_77,Urban,No,4,17,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_78,Urban,No,3,21,Female,Spouse,Married/Living together,Vocational/Specialised training,Informally employed,No
Kenya,2018,uniqueid_79,Urban,Yes,5,37,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed,No
Kenya,2018,uniqueid_80,Rural,No,4,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_81,Rural,No,8,40,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_82,Rural,No,4,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_83,Urban,No,4,65,Female,Spouse,Married/Living together,No formal education,Informally employed,No
Kenya,2018,uniqueid_84,Rural,Yes,7,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_85,Urban,Yes,3,34,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed,No
Kenya,2018,uniqueid_86,Rural,Yes,4,46,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_87,Urban,Yes,1,54,Male,Head of Household,Single/Never Married,Primary education,Informally employed,Yes
Kenya,2018,uniqueid_88,Urban,Yes,4,27,Female,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_89,Rural,Yes,4,21,Female,Child,Single/Never Married,Primary education,Informally employed,No
Kenya,2018,uniqueid_90,Rural,No,4,64,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_91,Rural,Yes,3,56,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_92,Rural,No,6,40,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_93,Urban,Yes,10,21,Female,Parent,Single/Never Married,Tertiary education,Remittance Dependent,Yes
Kenya,2018,uniqueid_94,Rural,Yes,9,18,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_95,Rural,Yes,1,42,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_96,Rural,No,2,22,Male,Child,Single/Never Married,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_97,Rural,Yes,8,52,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_98,Urban,Yes,6,35,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_99,Rural,Yes,2,64,Female,Head of Household,Widowed,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_100,Urban,Yes,5,42,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_101,Urban,Yes,10,23,Female,Other relative,Divorced/Seperated,Primary education,Formally employed Private,No
Kenya,2018,uniqueid_102,Rural,Yes,1,42,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed,No
Kenya,2018,uniqueid_103,Urban,Yes,2,27,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government,No
Kenya,2018,uniqueid_104,Rural,Yes,2,43,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_105,Urban,No,4,16,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,Yes
Kenya,2018,uniqueid_106,Urban,Yes,4,26,Male,Other relative,Single/Never Married,Secondary education,Informally employed,Yes
Kenya,2018,uniqueid_107,Rural,No,4,19,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_108,Rural,Yes,6,49,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government,Yes
Kenya,2018,uniqueid_109,Urban,Yes,9,44,Female,Head of Household,Married/Living together,No formal education,Self employed,No
Kenya,2018,uniqueid_110,Urban,Yes,1,30,Female,Head of Household,Single/Never Married,Primary education,Self employed,No
Kenya,2018,uniqueid_111,Rural,No,3,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_112,Urban,Yes,7,50,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing,No
Kenya,2018,uniqueid_113,Rural,Yes,2,30,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,No
Kenya,2018,uniqueid_114,Urban,Yes,5,49,Female,Spouse,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_115,Rural,No,8,72,Female,Parent,Widowed,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_116,Rural,Yes,4,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_117,Rural,Yes,2,21,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_118,Rural,Yes,9,52,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_119,Rural,Yes,4,55,Male,Child,Married/Living together,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_120,Rural,Yes,5,35,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_121,Rural,Yes,6,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_122,Rural,Yes,6,19,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_123,Urban,Yes,7,53,Female,Head of Household,Married/Living together,Tertiary education,Self employed,Yes
Kenya,2018,uniqueid_124,Urban,No,2,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_125,Urban,Yes,5,29,Female,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_126,Rural,Yes,1,24,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private,Yes
Kenya,2018,uniqueid_127,Urban,Yes,7,63,Male,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing,No
Kenya,2018,uniqueid_128,Urban,Yes,2,47,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_129,Urban,Yes,4,42,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government,Yes
Kenya,2018,uniqueid_130,Rural,No,3,17,Male,Child,Single/Never Married,Secondary education,Informally employed,No
Kenya,2018,uniqueid_131,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Informally employed,Yes
Kenya,2018,uniqueid_132,Urban,Yes,7,62,Male,Head of Household,Widowed,Primary education,Informally employed,No
Kenya,2018,uniqueid_133,Rural,Yes,2,52,Female,Head of Household,Widowed,Primary education,Informally employed,No
Kenya,2018,uniqueid_134,Rural,Yes,3,44,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,No
Kenya,2018,uniqueid_135,Urban,Yes,6,28,Female,Head of Household,Married/Living together,No formal education,Self employed,No
Kenya,2018,uniqueid_136,Urban,Yes,4,30,Female,Spouse,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_137,Urban,Yes,4,39,Male,Head of Household,Married/Living together,Primary education,Informally employed,Yes
Kenya,2018,uniqueid_138,Urban,Yes,4,81,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_139,Rural,Yes,1,62,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_140,Urban,Yes,3,78,Male,Head of Household,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_141,Urban,Yes,2,28,Female,Head of Household,Single/Never Married,Primary education,Self employed,No
Kenya,2018,uniqueid_142,Urban,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Formally employed Government,No
Kenya,2018,uniqueid_143,Rural,Yes,5,39,Female,Head of Household,Widowed,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_144,Rural,Yes,8,42,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_145,Rural,No,6,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_146,Rural,Yes,6,50,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_147,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_148,Urban,Yes,6,34,Male,Head of Household,Married/Living together,Primary education,Informally employed,Yes
Kenya,2018,uniqueid_149,Rural,Yes,5,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_150,Urban,Yes,3,26,Female,Spouse,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_151,Rural,No,8,36,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_152,Rural,Yes,4,78,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_153,Rural,Yes,5,36,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government,Yes
Kenya,2018,uniqueid_154,Urban,No,7,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_155,Urban,Yes,1,20,Male,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent,No
Kenya,2018,uniqueid_156,Rural,Yes,1,30,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_157,Rural,Yes,1,38,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_158,Rural,Yes,8,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_159,Rural,No,4,50,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_160,Urban,Yes,7,40,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,Yes
Kenya,2018,uniqueid_161,Urban,Yes,1,62,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_162,Rural,Yes,4,40,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_163,Rural,Yes,7,44,Male,Head of Household,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_164,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_165,Rural,Yes,5,59,Female,Head of Household,Widowed,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_166,Urban,Yes,6,36,Female,Spouse,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_167,Rural,Yes,7,60,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_168,Rural,Yes,3,42,Male,Head of Household,Married/Living together,No formal education,Formally employed Private,Yes
Kenya,2018,uniqueid_169,Rural,Yes,2,56,Female,Head of Household,Married/Living together,No formal education,Self employed,No
Kenya,2018,uniqueid_170,Urban,No,4,37,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_171,Rural,Yes,4,28,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_172,Rural,No,9,50,Female,Child,Single/Never Married,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_173,Urban,Yes,2,55,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,No
Kenya,2018,uniqueid_174,Rural,Yes,7,65,Female,Head of Household,Widowed,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_175,Rural,Yes,5,48,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_176,Urban,Yes,2,65,Female,Head of Household,Widowed,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_177,Rural,Yes,7,55,Female,Head of Household,Widowed,Primary education,Informally employed,No
Kenya,2018,uniqueid_178,Rural,Yes,5,31,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_179,Rural,No,2,55,Female,Head of Household,Widowed,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_180,Urban,Yes,6,44,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_181,Rural,Yes,3,72,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_182,Urban,No,3,18,Female,Child,Single/Never Married,Secondary education,Informally employed,No
Kenya,2018,uniqueid_183,Rural,Yes,4,26,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_184,Rural,Yes,1,53,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed,No
Kenya,2018,uniqueid_185,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_186,Urban,Yes,8,34,Female,Head of Household,Married/Living together,Tertiary education,Informally employed,No
Kenya,2018,uniqueid_187,Rural,Yes,4,55,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_188,Urban,Yes,2,48,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed,No
Kenya,2018,uniqueid_189,Rural,Yes,2,50,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_190,Rural,Yes,7,65,Female,Head of Household,Widowed,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_191,Urban,Yes,3,53,Female,Head of Household,Widowed,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_192,Rural,Yes,5,45,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_193,Urban,Yes,2,29,Female,Head of Household,Single/Never Married,Primary education,Informally employed,No
Kenya,2018,uniqueid_194,Urban,Yes,3,36,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private,Yes
Kenya,2018,uniqueid_195,Rural,No,9,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_196,Rural,No,5,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_197,Urban,Yes,7,33,Female,Head of Household,Married/Living together,Primary education,Self employed,Yes
Kenya,2018,uniqueid_198,Urban,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_199,Urban,Yes,2,30,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Government,Yes
Kenya,2018,uniqueid_200,Urban,Yes,5,48,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_201,Rural,Yes,2,80,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Yes
Kenya,2018,uniqueid_202,Urban,Yes,6,42,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_203,Rural,Yes,5,69,Female,Head of Household,Married/Living together,No formal education,Self employed,No
Kenya,2018,uniqueid_204,Urban,Yes,3,23,Female,Spouse,Married/Living together,Secondary education,Self employed,No
Kenya,2018,uniqueid_205,Rural,Yes,2,67,Female,Head of Household,Widowed,Primary education,Informally employed,No
Kenya,2018,uniqueid_206,Rural,Yes,2,58,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_207,Rural,Yes,6,27,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_208,Rural,Yes,1,42,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_209,Rural,No,5,80,Female,Head of Household,Widowed,No formal education,Government Dependent,No
Kenya,2018,uniqueid_210,Rural,No,3,95,Female,Parent,Widowed,No formal education,Informally employed,No
Kenya,2018,uniqueid_211,Rural,Yes,4,26,Female,Other relative,Single/Never Married,Secondary education,Informally employed,No
Kenya,2018,uniqueid_212,Urban,Yes,3,38,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent,No
Kenya,2018,uniqueid_213,Urban,Yes,1,64,Male,Head of Household,Married/Living together,Secondary education,Informally employed,No
Kenya,2018,uniqueid_214,Urban,Yes,6,16,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_215,Urban,No,4,49,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_216,Rural,No,5,33,Female,Head of Household,Widowed,No formal education,Self employed,No
Kenya,2018,uniqueid_217,Urban,Yes,4,35,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed,No
Kenya,2018,uniqueid_218,Urban,Yes,1,28,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private,Yes
Kenya,2018,uniqueid_219,Urban,Yes,4,38,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,No
Kenya,2018,uniqueid_220,Rural,Yes,3,29,Male,Head of Household,Married/Living together,No formal education,Self employed,No
Kenya,2018,uniqueid_221,Rural,Yes,5,26,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_222,Rural,No,1,17,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_223,Rural,Yes,4,36,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_224,Urban,Yes,3,28,Female,Spouse,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_225,Urban,No,5,22,Female,Parent,Single/Never Married,Secondary education,Dont Know/Refuse to answer,No
Kenya,2018,uniqueid_226,Urban,Yes,1,65,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_227,Urban,No,1,54,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_228,Rural,Yes,4,66,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_229,Urban,Yes,3,54,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_230,Rural,No,3,70,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_231,Rural,Yes,5,44,Male,Head of Household,Married/Living together,Secondary education,Informally employed,No
Kenya,2018,uniqueid_232,Urban,Yes,7,22,Male,Child,Single/Never Married,Secondary education,Informally employed,No
Kenya,2018,uniqueid_233,Rural,Yes,3,53,Male,Head of Household,Married/Living together,Tertiary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_234,Rural,Yes,7,28,Male,Child,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_235,Rural,Yes,8,42,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
